Pokemon Id,Pokedex Number,Pokemon Name,Classification,Alternate Form Name,Original Pokemon ID,Legendary Type,Pokemon Height,Pokemon Weight,Primary Type,Secondary Type,Primary Ability,Primary Ability Description,Secondary Ability,Secondary Ability Description,Hidden Ability,Hidden Ability Description,Special Event Ability,Special Event Ability Description,Male Ratio,Female Ratio,Base Happiness,Game(s) of Origin,Region of Origin,Health Stat,Attack Stat,Defense Stat,Special Attack Stat,Special Defense Stat,Speed Stat,Base Stat Total,Health EV,Attack EV,Defense EV,Special Attack EV,Special Defense EV,Speed EV,EV Yield Total,Catch Rate,Experience Growth,Experience Growth Total,Experience Yield,Primary Egg Group,Secondary Egg Group,Egg Cycle Count,Pre-Evolution Pokemon Id,Evolution Details
1,1,"""Bulbasaur""","""Seed Pokemon""",NULL,NULL,NULL,0.7,6.9,"""Grass""","""Poison""","""Overgrow""","""Powers up Grass-type moves when the Pokémon's HP is low.""",NULL,NULL,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. """,NULL,NULL,87.5,12.5,70,"""Red / Blue / Yellow""","""Kanto""",45,49,49,65,0,45,253,0,0,0,1,0,0,1,45,"""Medium Slow""",1059860,64,"""Monster""","""Grass""",20,NULL,NULL
2,2,"""Ivysaur""","""Seed Pokemon""",NULL,NULL,NULL,1.0,13.0,"""Grass""","""Poison""","""Overgrow""","""Powers up Grass-type moves when the Pokémon's HP is low.""",NULL,NULL,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. """,NULL,NULL,87.5,12.5,70,"""Red / Blue / Yellow""","""Kanto""",60,62,63,80,0,60,325,0,0,0,1,1,0,2,45,"""Medium Slow""",1059860,142,"""Monster""","""Grass""",20,1,"""Level 16"""
3,3,"""Venusaur""","""Seed Pokemon""",NULL,NULL,NULL,2.0,100.0,"""Grass""","""Poison""","""Overgrow""","""Powers up Grass-type moves when the Pokémon's HP is low.""",NULL,NULL,"""Chlorophyll""","""Boosts the Pokémon's Speed stat in harsh sunlight. """,NULL,NULL,87.5,12.5,70,"""Red / Blue / Yellow""","""Kanto""",80,82,83,100,0,80,425,0,0,0,2,1,0,3,45,"""Medium Slow""",1059860,236,"""Monster""","""Grass""",20,2,"""Level 32"""
4,3,"""Venusaur""","""Seed Pokemon""","""Mega""",3,NULL,2.4,155.5,"""Grass""","""Poison""","""Thick Fat""","""The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. """,NULL,NULL,NULL,NULL,NULL,NULL,87.5,12.5,70,"""X / Y""","""Kalos""",80,100,123,122,120,80,625,0,0,0,2,1,0,3,45,"""Medium Slow""",1059860,281,"""Monster""","""Grass""",20,NULL,NULL
5,4,"""Charmander""","""Lizard Pokemon""",NULL,NULL,NULL,0.6,8.5,"""Fire""",NULL,"""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low. """,NULL,NULL,"""Solar Power""","""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.""",NULL,NULL,87.5,12.5,70,"""Red / Blue / Yellow""","""Kanto""",39,52,43,50,0,65,249,0,0,0,0,0,1,1,45,"""Medium Slow""",1059860,62,"""Monster""","""Dragon""",20,NULL,NULL
6,5,"""Charmeleon""","""Flame Pokemon""",NULL,NULL,NULL,1.1,19.0,"""Fire""",NULL,"""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low. """,NULL,NULL,"""Solar Power""","""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.""",NULL,NULL,87.5,12.5,70,"""Red / Blue / Yellow""","""Kanto""",58,64,58,65,0,80,325,0,0,0,1,0,1,2,45,"""Medium Slow""",1059860,142,"""Monster""","""Dragon""",20,5,"""Level 16"""
7,6,"""Charizard""","""Flame Pokemon""",NULL,NULL,NULL,1.7,90.5,"""Fire""","""Flying""","""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low. """,NULL,NULL,"""Solar Power""","""Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.""",NULL,NULL,87.5,12.5,70,"""Red / Blue / Yellow""","""Kanto""",78,84,78,85,0,100,425,0,0,0,3,0,0,3,45,"""Medium Slow""",1059860,240,"""Monster""","""Dragon""",20,6,"""Level 32"""
8,6,"""Charizard""","""Flame Pokemon""","""Mega X""",7,NULL,1.7,110.5,"""Fire""","""Dragon""","""Tough Claws""","""Powers up moves that make direct contact. """,NULL,NULL,NULL,NULL,NULL,NULL,87.5,12.5,70,"""X / Y""","""Kalos""",78,130,111,130,85,100,634,0,0,0,3,0,0,3,45,"""Medium Slow""",1059860,285,"""Monster""","""Dragon""",20,NULL,NULL
9,6,"""Charizard""","""Flame Pokemon""","""Mega Y""",7,NULL,1.7,100.5,"""Fire""","""Flying""","""Drought""","""Turns the sunlight harsh when the Pokémon enters a battle.""",NULL,NULL,NULL,NULL,NULL,NULL,87.5,12.5,70,"""X / Y""","""Kalos""",78,104,78,159,115,100,634,0,0,0,3,0,0,3,45,"""Medium Slow""",1059860,285,"""Monster""","""Dragon""",20,NULL,NULL
10,7,"""Squirtle""","""Tiny Turtle Pokemon""",NULL,NULL,NULL,0.5,9.0,"""Water""",NULL,"""Torrent""","""Powers up Water-type moves when the Pokémon's HP is low. """,NULL,NULL,"""Rain Dish""","""The Pokémon gradually regains HP in rain. """,NULL,NULL,87.5,12.5,70,"""Red / Blue / Yellow""","""Kanto""",44,48,65,50,0,43,250,0,0,1,0,0,0,1,45,"""Medium Slow""",1059860,63,"""Monster""","""Water 1""",20,NULL,NULL
11,8,"""Wartortle""","""Turtle Pokemon""",NULL,NULL,NULL,1.0,22.5,"""Water""",NULL,"""Torrent""","""Powers up Water-type moves when the Pokémon's HP is low. """,NULL,NULL,"""Rain Dish""","""The Pokémon gradually regains HP in rain. """,NULL,NULL,87.5,12.5,70,"""Red / Blue / Yellow""","""Kanto""",59,63,80,65,0,58,325,0,0,1,0,1,0,2,45,"""Medium Slow""",1059860,142,"""Monster""","""Water 1""",20,10,"""Level 16"""
12,9,"""Blastoise""","""Shellfish Pokemon""",NULL,NULL,NULL,1.6,85.5,"""Water""",NULL,"""Torrent""","""Powers up Water-type moves when the Pokémon's HP is low. """,NULL,NULL,"""Rain Dish""","""The Pokémon gradually regains HP in rain. """,NULL,NULL,87.5,12.5,70,"""Red / Blue / Yellow""","""Kanto""",79,83,100,85,0,78,425,0,0,0,0,3,0,3,45,"""Medium Slow""",1059860,239,"""Monster""","""Water 1""",20,11,"""Level 32"""
13,9,"""Blastoise""","""Shellfish Pokemon""","""Mega""",12,NULL,1.6,101.1,"""Water""",NULL,"""Mega Launcher""","""Powers up aura and pulse moves. """,NULL,NULL,NULL,NULL,NULL,NULL,87.5,12.5,70,"""X / Y""","""Kalos""",79,103,120,135,115,78,630,0,0,0,0,3,0,3,45,"""Medium Slow""",1059860,284,"""Monster""","""Water 1""",20,NULL,NULL
14,848,"""Toxel""","""Baby Pokemon""",NULL,NULL,NULL,0.4,11.0,"""Electric""","""Poison""","""Rattled""","""Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.""","""Static""","""The Pokémon is charged with static electricity, so contact with it may cause paralysis.""","""Klutz""","""The Pokémon can't use any held items.""",NULL,NULL,50,50,50,"""Sword / Shield""","""Galar""",40,38,35,54,35,40,242,0,0,0,1,0,0,1,75,"""Medium Slow""",1059860,48,"""Undiscovered""",NULL,25,NULL,NULL
15,849,"""Toxtricity""","""Punk Pokemon""",NULL,NULL,NULL,1.6,40.0,"""Electric""","""Poison""","""Punk Rock""","""Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.""","""Plus""","""Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.""","""Technician""","""Powers up the Pokémon's weaker moves.""",NULL,NULL,50,50,50,"""Sword / Shield""","""Galar""",75,98,70,114,70,75,502,0,0,0,2,0,0,2,45,"""Medium Slow""",1059860,176,"""Human-Like""",NULL,25,14,"""Level 30 With An Adamant, Brave, Docile, Hardy, Hasty, Impish, Jolly, Lax, Naive, Naughty, Quirky, Rash, or Sassy Nature"""
16,849,"""Toxtricity""","""Punk Pokemon""","""Low Key""",15,NULL,1.6,40.0,"""Electric""","""Poison""","""Punk Rock""","""Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.""","""Minus""","""Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.""","""Technician""","""Powers up the Pokémon's weaker moves.""",NULL,NULL,50,50,50,"""Sword / Shield""","""Galar""",75,98,70,114,70,75,502,0,0,0,2,0,0,2,45,"""Medium Slow""",1059860,176,"""Human-Like""",NULL,25,14,"""Level 30 With A Bashful, Bold, Calm, Careful, Gentle, Lonely, Mild, Modest, Quiet, Relaxed, Serious, or Timid Nature"""
17,30,"""Nidorina""","""Poison Pin Pokemon""",NULL,NULL,NULL,0.8,20.0,"""Poison""",NULL,"""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",NULL,NULL,0,100,70,"""Red / Blue / Yellow""","""Kanto""",70,62,67,55,0,56,310,2,0,0,0,0,0,2,120,"""Medium Slow""",1059860,128,"""Undiscovered""",NULL,20,33,"""Level 16"""
18,31,"""Nidoqueen""","""Drill Pokemon""",NULL,NULL,NULL,1.3,60.0,"""Poison""","""Ground""","""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Sheer Force""","""Removes additional effects to increase the power of moves when attacking.""",NULL,NULL,0,100,70,"""Red / Blue / Yellow""","""Kanto""",90,92,87,75,85,76,505,3,0,0,0,0,0,3,45,"""Medium Slow""",1059860,227,"""Undiscovered""",NULL,20,17,"""Moon Stone"""
19,392,"""Infernape""","""Flame Pokemon""",NULL,NULL,NULL,1.2,55.0,"""Fire""","""Fighting""","""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low. """,NULL,NULL,"""Iron Fist""","""Powers up punching moves.""",NULL,NULL,87.5,12.5,70,"""Diamond / Pearl""","""Sinnoh""",76,104,71,104,71,108,534,0,1,0,1,0,1,3,45,"""Medium Slow""",1059860,240,"""Field""","""Human-Like""",20,35,"""Level 36"""
20,403,"""Shinx""","""Flash Pokemon""",NULL,NULL,NULL,0.5,9.5,"""Electric""",NULL,"""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""","""Guts""","""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""",NULL,NULL,50,50,70,"""Diamond / Pearl""","""Sinnoh""",45,65,34,40,34,45,263,0,1,0,0,0,0,1,235,"""Medium Slow""",1059860,53,"""Field""",NULL,20,NULL,NULL
21,404,"""Luxio""","""Spark Pokemon""",NULL,NULL,NULL,0.9,30.5,"""Electric""",NULL,"""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""","""Guts""","""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""",NULL,NULL,50,50,100,"""Diamond / Pearl""","""Sinnoh""",60,85,49,60,49,60,363,0,2,0,0,0,0,2,120,"""Medium Slow""",1059860,127,"""Field""",NULL,20,20,"""Level 15"""
22,405,"""Luxray""","""Gleam Eyes Pokemon""",NULL,NULL,NULL,1.4,42.0,"""Electric""",NULL,"""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Intimidate""","""The Pokémon intimidates opposing Pokémon upon entering battle, lowering their Attack stat.""","""Guts""","""It's so gutsy that having a status condition boosts the Pokémon's Attack stat.""",NULL,NULL,50,50,70,"""Diamond / Pearl""","""Sinnoh""",80,120,79,95,79,70,523,0,3,0,0,0,0,3,45,"""Medium Slow""",1059860,235,"""Field""",NULL,20,21,"""Level 30"""
23,11,"""Metapod""","""Cocoon Pokemon""",NULL,NULL,NULL,0.7,9.9,"""Bug""",NULL,"""Shed Skin""","""The Pokémon may heal its own status conditions by shedding its skin.""",NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,"""Red / Blue / Yellow""","""Kanto""",50,20,55,25,0,30,180,0,0,2,0,0,0,2,120,"""Medium Fast""",1000000,72,"""Bug""",NULL,15,32,"""Level 7"""
24,12,"""Butterfree""","""Butterfly Pokemon""",NULL,NULL,NULL,1.1,32.0,"""Bug""","""Flying""","""Compound Eyes""","""The Pokémon's compound eyes boost its accuracy.""",NULL,NULL,"""Tinted Lens""","""The Pokémon can use """"not very effective"""" moves to deal regular damage.""",NULL,NULL,50,50,70,"""Red / Blue / Yellow""","""Kanto""",60,45,50,90,80,70,395,0,0,0,2,1,0,3,45,"""Medium Fast""",1000000,178,"""Bug""",NULL,15,23,"""Level 10"""
25,679,"""Honedge""","""Sword Pokemon""",NULL,NULL,NULL,0.8,2.0,"""Steel""","""Ghost""","""No Guard""","""The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.""",NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,"""X / Y""","""Kalos""",45,80,100,35,37,28,325,0,0,1,0,0,0,1,180,"""Medium Fast""",1000000,65,"""Mineral""",NULL,20,NULL,NULL
26,680,"""Doublade""","""Sword Pokemon""",NULL,NULL,NULL,0.8,4.5,"""Steel""","""Ghost""","""No Guard""","""The Pokémon employs no-guard tactics to ensure incoming and outgoing attacks always land.""",NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,"""X / Y""","""Kalos""",59,110,150,45,49,35,448,0,0,2,0,0,0,2,90,"""Medium Fast""",1000000,157,"""Mineral""",NULL,20,25,"""Level 35"""
27,15,"""Beedrill""","""Poison Bee Pokemon""",NULL,NULL,NULL,1.0,29.5,"""Bug""","""Poison""","""Swarm""","""Powers up Bug-type moves when the Pokémon's HP is low.""",NULL,NULL,"""Sniper""","""Powers up moves if they become critical hits when attacking.""",NULL,NULL,50,50,70,"""Red / Blue / Yellow""","""Kanto""",65,90,40,45,80,75,395,0,2,0,0,1,0,3,45,"""Medium Fast""",1000000,178,"""Bug""",NULL,15,30,"""Level 10"""
28,15,"""Beedrill""","""Poison Bee Pokemon""","""Mega""",27,NULL,1.4,40.5,"""Bug""","""Poison""","""Adaptability""","""Powers up moves of the same type as the Pokémon.""",NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,"""Omega Ruby / Alpha Sapphire""","""Kalos""",65,150,40,15,80,145,495,0,2,0,0,1,0,3,45,"""Medium Fast""",1000000,223,"""Bug""",NULL,15,NULL,NULL
29,132,"""Ditto""","""Transform Pokemon""",NULL,NULL,NULL,0.3,4.0,"""Normal""",NULL,"""Limber""","""Its limber body protects the Pokémon from paralysis.""",NULL,NULL,"""Imposter""","""The Pokémon transforms itself into the Pokémon it's facing.""",NULL,NULL,0,0,70,"""Red / Blue / Yellow""","""Kanto""",48,48,48,48,0,48,240,1,0,0,0,0,0,1,35,"""Medium Fast""",1000000,101,"""Ditto""",NULL,20,NULL,NULL
30,14,"""Kakuna""","""Cocoon Pokemon""",NULL,NULL,NULL,0.6,10.0,"""Bug""","""Poison""","""Shed Skin""","""The Pokémon may heal its own status conditions by shedding its skin.""",NULL,NULL,NULL,NULL,NULL,NULL,50,50,70,"""Red / Blue / Yellow""","""Kanto""",45,25,50,25,0,35,180,0,0,2,0,0,0,2,120,"""Medium Fast""",1000000,72,"""Bug""",NULL,15,31,"""Level 7"""
31,13,"""Weedle""","""Hairy Bug Pokemon""",NULL,NULL,NULL,0.3,3.2,"""Bug""","""Poison""","""Shield Dust""","""This Pokémon's dust blocks the additional effects of attacks taken.""",NULL,NULL,"""Run Away""","""Enables a sure getaway from wild Pokémon.""",NULL,NULL,50,50,70,"""Red / Blue / Yellow""","""Kanto""",40,35,30,20,0,50,175,0,0,0,0,0,1,1,255,"""Medium Fast""",1000000,39,"""Bug""",NULL,15,NULL,NULL
32,10,"""Caterpie""","""Worm Pokemon""",NULL,NULL,NULL,0.3,2.9,"""Bug""",NULL,"""Shield Dust""","""This Pokémon's dust blocks the additional effects of attacks taken.""",NULL,NULL,"""Run Away""","""Enables a sure getaway from wild Pokémon.""",NULL,NULL,50,50,70,"""Red / Blue / Yellow""","""Kanto""",45,30,35,20,0,45,175,1,0,0,0,0,0,1,255,"""Medium Fast""",1000000,39,"""Bug""",NULL,15,NULL,NULL
33,29,"""Nidoran (Female)""","""Poison Pin Pokemon""",NULL,NULL,NULL,0.4,7.0,"""Poison""",NULL,"""Poison Point""","""Contact with the Pokémon may poison the attacker.""","""Rivalry""","""Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.""","""Hustle""","""Boosts the Attack stat, but lowers accuracy.""",NULL,NULL,0,100,70,"""Red / Blue / Yellow""","""Kanto""",55,47,52,40,0,41,235,1,0,0,0,0,0,1,235,"""Medium Slow""",1059860,55,"""Monster""","""Field""",20,NULL,NULL
34,390,"""Chimchar""","""Chimp Pokemon""",NULL,NULL,NULL,0.5,6.2,"""Fire""",NULL,"""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low. """,NULL,NULL,"""Iron Fist""","""Powers up punching moves.""",NULL,NULL,87.5,12.5,70,"""Diamond / Pearl""","""Sinnoh""",44,58,44,58,44,61,309,0,0,0,0,0,1,1,45,"""Medium Slow""",1059860,62,"""Field""","""Human-Like""",20,NULL,NULL
35,391,"""Monferno""","""Playful Pokemon""",NULL,NULL,NULL,0.9,22.0,"""Fire""","""Fighting""","""Blaze""","""Powers up Fire-type moves when the Pokémon's HP is low. """,NULL,NULL,"""Iron Fist""","""Powers up punching moves.""",NULL,NULL,87.5,12.5,70,"""Diamond / Pearl""","""Sinnoh""",64,78,52,78,52,81,405,0,0,0,1,0,1,2,45,"""Medium Slow""",1059860,142,"""Field""","""Human-Like""",20,34,"""Level 14"""
36,489,"""Phione""","""Sea Drifter Pokemon""",NULL,NULL,"""Mythical""",0.4,3.1,"""Water""",NULL,"""Hydration""","""Heals status conditions if it's raining.""",NULL,NULL,NULL,NULL,NULL,NULL,0,0,70,"""Diamond / Pearl""","""Sinnoh""",80,80,80,80,80,80,480,1,0,0,0,0,0,1,30,"""Slow""",1250000,216,"""Water 1""","""Fairy""",40,NULL,NULL
37,490,"""Manaphy""","""Seafaring Pokemon""",NULL,NULL,"""Mythical""",0.3,1.4,"""Water""",NULL,"""Hydration""","""Heals status conditions if it's raining.""",NULL,NULL,NULL,NULL,NULL,NULL,0,0,70,"""Diamond / Pearl""","""Sinnoh""",100,100,100,100,100,100,600,3,0,0,0,0,0,3,3,"""Slow""",1250000,270,"""Water 1""","""Fairy""",10,NULL,NULL
38,891,"""Kubfu""","""Wushu Pokemon""",NULL,NULL,"""Sub-Legendary""",0.6,12.0,"""Fighting""",NULL,"""Inner Focus""","""The Pokémon's intensely focused, and that protects the Pokémon from flinching.""",NULL,NULL,NULL,NULL,NULL,NULL,87.5,12.5,0,"""Sword / Shield""","""Galar""",60,90,60,53,50,72,385,0,1,0,0,0,0,1,3,"""Slow""",1250000,57,"""Undiscovered""",NULL,120,NULL,NULL
39,892,"""Urshifu""","""Wushu Pokemon""",NULL,NULL,"""Sub-Legendary""",1.9,105.0,"""Fighting""","""Dark""","""Unseen Fist""","""The Pokémon can deal damage with moves that make physical contact, even if the target is protected.""",NULL,NULL,NULL,NULL,NULL,NULL,87.5,12.5,0,"""Sword / Shield""","""Galar""",100,130,100,63,60,97,550,0,3,0,0,0,0,3,3,"""Slow""",1250000,257,"""Undiscovered""",NULL,120,38,"""Conquer the Tower of Darkness in Galar's Isle of Armor"""
40,892,"""Urshifu""","""Wushu Pokemon""","""Rapid Strike""",39,"""Sub-Legendary""",1.9,105.0,"""Fighting""","""Water""","""Unseen Fist""","""The Pokémon can deal damage with moves that make physical contact, even if the target is protected.""",NULL,NULL,NULL,NULL,NULL,NULL,87.5,12.5,0,"""Sword / Shield""","""Galar""",100,130,100,63,60,97,550,0,3,0,0,0,0,3,3,"""Slow""",1250000,257,"""Undiscovered""",NULL,120,38,"""Conquer the Tower of Waters in Galar's Isle of Armor"""
41,898,"""Calyrex""","""King Pokemon""",NULL,NULL,"""Legendary""",1.1,7.7,"""Psychic""","""Grass""","""Unnerve""","""Unnerves opposing Pokémon and makes them unable to eat Berries.""",NULL,NULL,NULL,NULL,NULL,NULL,0,0,0,"""Sword / Shield""","""Galar""",100,80,80,80,80,80,500,3,0,0,0,0,0,3,3,"""Slow""",1250000,250,"""Undiscovered""",NULL,120,NULL,NULL
