pokemon_name,pokedex_number,pokemon_id,classification,pokemon_height,pokemon_weight,primary_type,secondary_type,pre_evo_id,evo_details,primary_ability,primary_ability_desc,secondary_ability,secondary_ability_desc,hidden_ability,hidden_ability_desc,health_stat,attack_stat,defense_stat,special_attack_stat,special_defense_stat,speed_stat,base_stat_total
Bulbasaur,1,1,Seed Pokémon,0.7,6.9,Grass,Poison,,,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,45,49,49,65,65,45,318
Ivysaur,2,2,Seed Pokémon,1,13,Grass,Poison,1,Level 16,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,60,62,63,80,80,60,405
Venusaur,3,3,Seed Pokémon,2,100,Grass,Poison,2,Level 32,Overgrow,Powers up Grass-type moves when the Pokémon's HP is low.,,,Chlorophyll,Boosts the Pokémon's Speed stat in harsh sunlight. ,80,82,83,100,100,80,525
Mega Venusaur,3,4,Seed Pokémon,2.4,155.5,Grass,Poison,,,Thick Fat,"The Pokémon is protected by a layer of thick fat, which halves the damage taken from Fire- and Ice-type moves. ",,,,,80,100,123,122,120,80,625
Charmander,4,5,Lizard Pokémon,0.6,8.5,Fire,,,,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",39,52,43,60,50,65,309
Charmeleon,5,6,Flame Pokémon,1.1,19,Fire,,5,Level 16,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",58,64,58,80,65,80,405
Charizard,6,7,Flame Pokémon,1.7,90.5,Fire,Flying,6,Level 32,Blaze,Powers up Fire-type moves when the Pokémon's HP is low. ,,,Solar Power,"Boosts the Sp. Atk stat in harsh sunlight, but HP decreases every turn.",78,84,78,109,85,100,534
Mega X Charizard,6,8,Flame Pokémon,1.7,110.5,Fire,Dragon,,,Tough Claws,Powers up moves that make direct contact. ,,,,,78,130,111,130,85,100,634
Mega Y Charizard,6,9,Flame Pokémon,1.7,100.5,Fire,Flying,,,Drought,Turns the sunlight harsh when the Pokémon enters a battle.,,,,,78,104,78,159,115,100,634
Squirtle,7,10,Tiny Turtle Pokémon,0.5,9,Water,,,,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,,,Rain Dish,The Pokémon gradually regains HP in rain. ,44,48,65,50,64,43,314
Wartortle,8,11,Turtle Pokémon,1,22.5,Water,,10,Level 16,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,,,Rain Dish,The Pokémon gradually regains HP in rain. ,59,63,80,65,80,58,405
Blastoise,9,12,Shellfish Pokémon,1.6,85.5,Water,,11,Level 32,Torrent,Powers up Water-type moves when the Pokémon's HP is low. ,,,Rain Dish,The Pokémon gradually regains HP in rain. ,79,83,100,85,105,78,530
Mega Blastoise,9,13,Shellfish Pokémon,1.6,101.1,Water,,,,Mega Launcher,Powers up aura and pulse moves. ,,,,,79,103,120,135,115,78,630
Toxel,848,14,Baby Pokémon,0.4,11,Electric,Poison,,,Rattled,"Dark-, Ghost-, and Bug-type moves scare the Pokémon and boost its Speed stat.",Static,"The Pokémon is charged with static electricity, so contact with it may cause paralysis.",Klutz,The Pokémon can't use any held items.,40,38,35,54,35,40,242
Toxtricity,849,15,Punk Pokémon,1.6,40,Electric,Poison,14,"Level 30 With An Adamant, Brave, Docile, Hardy, Hasty, Impish, Jolly, Lax, Naive, Naughty, Quirky, Rash, or Sassy Nature",Punk Rock,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.,Plus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,Technician,Powers up the Pokémon's weaker moves.,75,98,70,114,70,75,502
Low Key Toxtricity,849,16,Punk Pokémon,1.6,40,Electric,Poison,14,"Level 30 With A Bashful, Bold, Calm, Careful, Gentle, Lonely, Mild, Modest, Quiet, Relaxed, Serious, or Timid Nature",Punk Rock,Boosts the power of sound-based moves. The Pokémon also takes half the damage from these kinds of moves.,Minus,Boosts the Sp. Atk stat of the Pokémon if an ally with the Plus or Minus Ability is also in battle.,Technician,Powers up the Pokémon's weaker moves.,75,98,70,114,70,75,502
Nidorina,30,17,Poison Pin Pokémon,0.8,20,Poison,,33,Level 16,Poison Point,Contact with the Pokémon may poison the attacker.,Rivalry,"Becomes competitive and deals more damage to Pokémon of the same gender, but deals less to Pokémon of the opposite gender.",Hustle,"Boosts the Attack stat, but lowers accuracy.",70,62,67,55,55,56,365
